activity_lookup_id,category_lookup_id,activity_name,default_amount,txn_type,is_active
1,5,AARDI PIRAPPU,1,income,1
2,5,ANNAPARASATHAM,1,income,1
3,5,ANNIVERSARY POOJA,1,income,1
4,5,ARCHANAI,1,income,1
5,6,BC HYDRO,1,income,1
6,5,BLESSING,1,income,1
7,7,CANCELLED,0,income,1
8,1,DONATION,1,income,1
9,2,GANAPATHI HOMA ABISHAGAM,1,income,1
10,5,GARLAND,1,income,1
11,5,GREEN TICKET,1,income,1
12,3,HUNDIAL,1,income,1
13,5,KUNGUMA ARCHANAI,1,income,1
14,4,MEMBERSHIP,1,income,1
15,5,MILK ABISHAGAM,1,income,1
16,5,MILK POT,1,income,1
17,5,MOTCHA ARCHANAI,1,income,1
18,5,NAMING,1,income,1
19,5,NITHIYA ARCHANAI,1,income,1
20,5,PADIKATU ABISHAGAM,1,income,1
21,5,PANGUNI POOJA,1,income,1
22,5,PRIEST HOUSE VISIT,1,income,1
23,5,SALE OF ITEM,1,income,1
24,5,SANGA ABISHAGAM,1,income,1
25,6,TELUS,1,income,1
26,5,THIRUVIZHA,1,income,1
27,5,VEHICLE POOJA,1,income,1
28,5,VELIKKU POOJA,1,income,1
29,5,VITAYA ARAMPAM,1,income,1
30,5,WEDDING,1,income,1
